City,latitude,longitude
Delhi,28.6138954,77.2090057
Mumbai,19.054999,72.8692035
Lonavala,18.7503694,73.4069436
Bangalore,12.9767936,77.590082
Hyderabad,,
Kolkata,22.5726459,88.3638953
Goa,15.3004543,74.0855134
Ahmedabad,23.0215374,72.5800568
Dwarka,22.2424747,68.9671448
Junagadh,21.5220416,70.4582458
Bhuj,23.2472446,69.668339
Vadodara,22.2973142,73.1942567
Somnath,20.8957174,70.4080467
Rann of Kutch,23.7905518,70.4966137
Kevadia,21.2947722,73.1472445
Gandhinagar,23.2232877,72.6492267
Jaipur,26.9154576,75.8189817
Udaipur,24.578721,73.6862571
Jaisalmer,26.9116615,70.9124888
Sawai Madhopur,26.2290186,76.3043561
Pushkar,26.4876472,74.5578484
Ajmer,26.4691,74.639
Jodhpur,26.2967719,73.0351433
Chittorgarh,24.7171578,74.4718129
Mount Abu,24.592433,72.7081876
Bikaner,28.0159286,73.3171367
Amritsar,31.6356659,74.8787496
Chandigarh,30.7334421,76.7797143
Alappuzha,9.5006651,76.4124143
Munnar,10.0869959,77.0600915
Kochi,9.9679032,76.2444378
Thiruvananthapuram,8.4882267,76.947551
Kozhikode,11.2450558,75.7754716
Wayanad,11.7151292,76.1271185
Thekkady,9.5804995,77.181142
Kumarakom,9.5960545,76.4305378
Varkala,8.7340434,76.7252855
Bekal,12.395725,75.0371916
Kovalam,8.3902593,76.9785152
Kannur,11.8763836,75.3737973
Nelliyampathy,10.534929,76.6932696
Mysore,12.3051828,76.6553609
Hampi,15.3358,76.4610201
Coorg,12.3827332,75.6640715
Gokarna,14.5439629,74.3184418
Chikmagalur,13.318014,75.7738743
Badami,15.9203874,75.6807865
Shivamogga,13.9326093,75.574978
Mangalore,12.8698101,74.8430082
Murudeshwar,15.3410864,75.1197114
Bijapur,18.7935679,80.815939
Bandipur,24.2254871,77.4774115
Halebidu,12.5923947,76.6913469
Pune,18.5213738,73.8545071
Aurangabad,24.8033201,84.4110198
Nashik,20.0112475,73.7902364
Shirdi,19.7668121,74.4754386
Alibaug,18.6498427,72.8765469
Ratnagiri,17.2826079,73.4569787
Nagpur,21.1498134,79.0820556
Kolhapur,16.7028412,74.2405329
Tarkarli,16.006814,73.4918404
Satara,,
Matheran,18.9901544,73.2700191
Ajanta,20.532524,75.7513692
Khajuraho,24.8515132,79.9259786
Bhopal,23.2584857,77.401989
Indore,22.7203616,75.8681996
Gwalior,26.2037247,78.1573628
Ujjain,23.1885131,75.7716562
Jabalpur,23.1701522,79.9324505
Pachmarhi,22.4736824,78.4360537
Kanha,22.2769842,80.6278653
Bandhavgarh,23.6444125,81.0245023
Orchha,25.3528706,78.6402465
Mandu,23.7978518,85.5263325
Bhimbetka,22.9384007,77.6133286
Amarkantak,22.670465,81.7588417
Chitrakoot,25.217139,81.1045927
Shimla,31.1041526,77.1709729
Manali,32.2454608,77.1872926
dalhousie,32.5435755,75.9448409
Dalhousie,32.5435755,75.9448409
Spiti Valley,,
Kullu,31.9578974,77.1089232
Chamba,,
Kinnaur,31.593013,78.3281417
Kangra,32.0768665,76.2985872
Palampur,32.1095492,76.5359534
Mandi,31.6516617,77.0092542
Bir Billing,32.0472187,76.7406502
McLeod Ganj,32.2352666,76.326238
Manikaran,32.0273214,77.3464072
Narkanda,31.2547508,77.4612694
Barot,32.0377277,76.8452055
Shoja,31.2978643,77.0339978
Kufri,31.1006627,77.2633837
Nainital,29.294995,79.4162511
Rishikesh,30.1086537,78.2916193
Haridwar,29.9123514,78.0087178
Dehradun,30.3255646,78.0436813
Mussoorie,30.4569012,78.0782906
Auli,30.5377872,79.5657242
Badrinath,30.7423302,79.4930256
Almora,29.702651,79.4326318
Ranikhet,29.6323007,79.4154142
Jim Corbett,29.5574752,78.842495
Uttarkashi,30.9635733,78.6362521
Chopta,30.1801851,79.367685
Joshimath,30.5555752,79.5612607
Agra,27.1752554,78.0098161
Varanasi,25.3356491,83.0076292
Lucknow,26.8381,80.9346001
Mathura,27.4955539,77.6855554
Ayodhya,26.7990707,82.2052321
Vrindavan,27.5753726,77.6938045
Allahabad,25.4381302,81.8338005
Jhansi,25.529855,78.6527802
Sarnath,25.3776274,83.0275999
Fatehpur Sikri,27.0911655,77.6623984
